Tamanho da imagem (KB),Tempo total de recebimento (s),Throughput Bytes (Kbps),Throughput bits (Kbps)
2623,2.428441047668457,1080.1168109550524,8640.93448764042
2623,2.43253493309021,1078.2990058308555,8626.392046646844
2623,2.426551580429077,1080.9578585328013,8647.66286826241
2623,2.4417614936828613,1074.2244919440434,8593.795935552347
2623,2.4572649002075195,1067.4469813077474,8539.575850461979
2623,2.528498411178589,1037.37458896696,8298.99671173568
2623,2.367530107498169,1107.9056573315524,8863.24525865242
2623,2.461930751800537,1065.423955601377,8523.391644811016
2623,2.478642702102661,1058.2404627237636,8465.923701790109
2623,2.5210392475128174,1040.4439369945446,8323.551495956357
19297,17.427164793014526,1107.2942862016762,8858.35428961341
19297,18.301218032836914,1054.4106936148407,8435.285548918726
19297,18.258606672286987,1056.8714440455685,8454.971552364548
19297,18.146865367889404,1063.3792453293747,8507.033962634998
19297,18.122676849365234,1064.7985482716313,8518.38838617305
19297,17.251540899276733,1118.5667479018655,8948.533983214924
19297,17.186809539794922,1122.779650017013,8982.237200136104
19297,18.11657428741455,1065.1572253042057,8521.257802433645
19297,18.022339820861816,1070.7266754377085,8565.813403501668
19297,17.109806299209595,1127.832756405398,9022.662051243184
